,Review Title,sentiment_category
720,Real cinema is so back!,neutral
721,An incredible and refreshing feat for cinema.,neutral
722,Broke the story for no reason,negative
723,"Must see film, true theatrical experience",positive
724,Tip of my chair,neutral
725,Removing Zendaya would improve the movie,positive
726,"Great movie, but first part was masterpiece",positive
727,What can I say? Wow,positive
728,Doesn't make sense,neutral
729,A movie that will not be forgotten for a long time,positive
730,Modern Day Masterpiece,positive
731,NEVER WRITTEN REVIEW BEFORE,neutral
732,DUNE : Part two,neutral
733,Huge in scale,positive
734,Never seen a better film!,negative
735,This is the new generation of Sci-Fi.,neutral
736,Villenueve's Dune the perfect blend of passion and capital.,positive
737,"A masterpiece. Visionary Director, fantastic score, great cinematography, exceptional cast",positive
738,Milestone in SciFi Cinema,neutral
739,Unbelievably bad,negative
740,Monumental and a true Epic,positive
741,I want to hug Denis Villeneuve for this masterpiece,positive
742,Dune: Part Two Is What Movies Were Made For!,neutral
743,Almost Great!,positive
744,An epic character study that flips the classic hero story on its head,positive
745,Astonishing,neutral
746,Just absolutely phenomenal.,neutral
747,Holy moly I'm in awe,neutral
748,The best movie I have seen in cinema in years,positive
749,"EPIC, EXHILARATING and a experience of a lifetime",positive
750,A Monumental Epic That Redefines Sci-Fi Cinema,neutral
751,"Immense spectacle, not without weird details...",negative
752,Eschatologist Sci-Fi Movie,neutral
753,Better isn't possible,positive
754,"best movie I've ever, and will ever see",positive
755,It's not a masterpiece,negative
756,"Very, very good",positive
757,The Problem with Chani,negative
758,Lisan Al Gaib!!!!!!,neutral
759,GO WATCH IT! Its worth every damn minute.,negative
760,Masterpiece,positive
761,"People have a fight on a sandy planet somewhere, part two",negative
762,"Denis Villeneuve's Sci-Fi Epic Is Gigantic, Incredible & A Modern Cinematic Achievement",neutral
763,I felt obliged to rate this.,neutral
764,One of the greatest sci-fi films,positive
765,Rare case the film beats the book,neutral
766,See it in IMAX!,neutral
767,a masterpiece!,positive
768,Epic,neutral
769,Nice!,positive
770,Visually Stunning but...,positive
771,Visually stunning but that's it.,positive
772,11/10,neutral
773,Believe the hype as it is written.,neutral
774,Materpiece is an understatement. LB: danva0307,neutral
775,"NO, this is NOT an EMPIRE STRIKES BACK!!!!!!",negative
776,Enthralling,neutral
777,Just Amazing,positive
778,Definitely 10/10,positive
779,ABSOLUTE MASTERPIECE,positive
780,Expensive skeleton of the book,neutral
781,Chip Spice please.,positive
782,An incredible sensory achievement,neutral
783,"Jaw dropping, heart racing and feet trembling. I kid you not.",negative
784,Superb!,positive
785,"Epic in Scale, Uneven in Execution",neutral
786,Religious Masterpiece,positive
787,The movie everyone should watch!,neutral
788,This has set the bar for the sci-fi genre for years to come.,neutral
789,Near Perfect,positive
790,Better Than The First But Still Overrated,positive
791,A stunning masterpiece,positive
792,I'm gonna be honest.. I'm super disappointed!,positive
793,Absolute perfection,positive
794,A thrilling watch,positive
795,Messiah of the dystopian sci-fi era!!,neutral
796,Let's talk about Dune 2!,neutral
797,A slow build up to an underwhelming finale,neutral
798,We'll make fans of the book series happy,positive
799,Best Sci-Fi movie ever,positive
800,A generation defining film,neutral
801,The best sci-fi film,positive
802,"""Long live the fighters""",negative
803,Sandworms...you hate em' right? I hate em' myself!,negative
804,Dune: Part Two Review Said Dogan,neutral
805,THE Sci-Fi Epic of modern times,neutral
806,13th IMAX Watch,neutral
807,Movie of the Decade!!!,neutral
808,Villeneuve's offering solidifies itself as a great piece of science fiction cinema,positive
809,This is what movies can be,neutral
810,The greatest experience the big screen has ever produced,positive
811,Dune: Part Two is BEYOND EPIC!!,neutral
812,The Sands Touch - Dune: Part Two Review,neutral
813,"A Ride on the Sandworm with Timothee CHALAMET, ZENDAYA and Javier BARDEM",neutral
814,"Impressed, even better than part one",positive
815,"Thw first 2/3 amazing, the last 3rd disappointing",positive
816,A masterpiece of the old times,positive
817,"Dune 2 get a good scriptwriter, it's everything!!",positive
818,Pretty much a waste - it's pop-garbage.,positive
819,Masterpiece!,positive
820,Denis Villeneuve ruins yet another amazing plot,positive
821,Unbelievable movie,positive
822,The second part is a disappointment,negative
823,I love all the characters!,positive
824,Epic!,neutral
825,Dune: Part Two Review - A Transcendent Sequel That Redefines Epic Cinema,neutral
826,The Best Book Adaptation Ever,positive
827,A TRAGIC MESS OF A MOVIE -----DUNE: PART SWOON -- NOT,negative
828,Yes Thankyou,positive
829,Best Movie of the This Generation,positive
830,Even better than part one: an epic spectacle!,positive
831,"Cool story, cinematic masterpiece",positive
832,daenerys targaryen ?!? I must be missing it?,negative
833,Best Book Adaptation of All Time,positive
834,Went in with no knowledge of ratings.....,negative
835,"Better Than Expected, However....",positive
836,3 hours of shouting,neutral
837,Must see!!,neutral
838,First review I've written,neutral
839,A Sublime Sequel that Exceeds Expectations,neutral
840,INCREDIBILE,neutral
841,Go to IMAX on this movie!,neutral
842,This Is What Hollywood Exists For,neutral
843,2024 movie of the year so far,neutral
844,"Dull, uninspiring and Villeneuve's 1st misstep",negative
845,"Beautiful, but...",positive
846,Seriously,negative
847,DENIS VILLENEUVE COOKED A MASTERPIECE,positive
848,Amazing,positive
849,Dune well,positive
850,Sequel is a masterpiece,positive
851,The Impossible Burden of Dune Messiah,negative
852,I WAS THERE!,neutral
853,Void of excitement or dialogue,positive
854,Amaizng,neutral
855,No Spoilers Review!,negative
856,Fear kills souls,negative
857,A solid meh,positive
858,EPIC,neutral
859,fear kills the soul,negative
860,Full movie Diuna 2 - Best scifi production,positive
861,Disappointment,negative
862,Best Sci-Fi of the century,positive
863,I have been waiting for this!,neutral
864,The Making of a Legendary Series,neutral
865,Dune 2: Eclipsing Brilliance,positive
866,A feast for the senses,neutral
867,Too busy trying to look good,positive
868,Dune: Part Two - A Grand Spectacle Builds to a Thrilling Conclusion (8/10),positive
869,Incredibile,neutral
870,Great production but don't expect anything deeper,positive
871,Mind blowing epicness. The best story ever!,positive
872,Dennis you did this well.,positive
873,This generations LOTR or empire strikes back!!!,negative
874,A blockbuster that as artistic value,positive
875,Beautiful Disaster,negative
876,Big scale movie lost its rythm in part two but still a worthy watch,positive
877,A Sandstorm of Cinematic Brilliance,positive
878,Worthy Sequel & Mid Trilogy Entry,positive
879,A breath of fresh air,positive
880,A walking Oscar,neutral
881,The Best Sci-Fi Movie Of All Time,positive
882,Great (but nothing is perfect),positive
883,Mesmerising,neutral
884,Should Permanently Be in IMAX,neutral
885,Under the sands was buried an addition to the sci-fi genre that carries some spice: A Review of Dune 2,neutral
886,Part II is Mesmerizing!,neutral
887,WOW,positive
888,Diminished,neutral
889,The silence is deafening,negative
890,Very good follow up but not the all time classic some are saying,positive
891,Spectacular,neutral
892,Amazing.,positive
893,Perfect sci fi,positive
894,10 is to little for this movie,neutral
895,An Epic Culmination of Cinematic Sandstorm,neutral
896,Among the better sequels....but,positive
897,Dune: Part Two is a Cinematic Experience Deserving to be Seen in Theaters,neutral
898,This is an amazing movie!,positive
899,The most immersive film experience ever,neutral
900,Incredible...and yet...,neutral
901,"don't get the hype, way worse than part I",negative
902,"The Avengers-era ""cinema"" for a Call of Duty generation",neutral
903,Trouble sleeping? Check this 2.5 hour snoozefest out.,negative
904,A bar was raised with this movie. Was raised high.,neutral
905,Imax only!,neutral
906,Drowning in Harkonnen grey tones,positive
907,Many machines going nowhere.,neutral
908,It was special,positive
909,THAT'S how you make a thoughtful blockbuster,positive
910,I've just witnessed the best theatrical experience I've ever had .,positive
911,Cinematic genius!,neutral
912,"Great movie, fully immersive world amd experience",positive
913,"Technically stunning, but lacks proper storytelling and character depth",positive
914,"Control over Spice, is control over all",neutral
915,"Immensely satisfying,",positive
916,Possibly the greatest film i've ever seen,positive
917,You may not see any science fiction film this good in the next decade,positive
918,Simply amazing,positive
919,"I think the set designs, costumes and the cast were far better in the 1984 version.",positive
920,this is a MOVIE,neutral
921,Duke of Arrakis,neutral
922,Villeneuve's Dune is shaping up to be Gen Z's Lord of the Rings,neutral
923,Lisan al gaib!,neutral
924,"This can't be fiction, you won't fool us!",positive
925,"Really a poor sequel after a very, very long wait.",negative
926,Dune is HIM!,neutral
927,Dune Part Two: A Masterpiece of Epic Proportions,positive
928,Cinematic masterpiece with gaps for the uninitiated,positive
929,Religious wars from an atheistic point of view,negative
930,Film not a movie,neutral
931,Brilliant,positive
932,Best sci-fi,positive
933,Great movie with huge problems.,positive
934,"And just think, this is the bridge...",neutral
935,Sansational movie,neutral
936,"Yup, It Really Is Good",positive
937,Greatest Cinematic Experience,positive
938,The greatest spectacle since LOTR,positive
939,Cinema,neutral
940,Best movie,positive
941,Utterly disappointed!,negative
942,Dune: Part Two - A Return to Arrakis,neutral
943,Disappointing with an Unsatisfactory Ending,negative
944,Jaw Dropping,neutral
945,"Denis, where are you?",neutral
946,"Slow, boring and disjointed",negative
947,Epic ride that surpasses expectations,neutral
948,Visual Spectacle,neutral
949,Welcome Dune to epic classic of the history,positive
950,Epic! Peak Sci-fi!,neutral
951,Best movie ever,positive
952,THIS WAS LIFECHANGING,neutral
953,Masterpiece,positive
954,Villenueve successfully completes his two-parter,positive
955,Don't,neutral
956,One of the greatest movie ever made,positive
957,An Amazing movie,positive
958,WOW!,positive
959,Disappointing,negative
960,Nearing perfection; makes you feel that cinema is still alive,positive
961,Destruction and Chaos: The New Era,negative
962,Best Movie,positive
963,EPIC!,neutral
964,GOATED,neutral
965,Too Long,neutral
966,Best Sci-Fi film of the century,positive
967,A bit disappointed to be honest...,negative
968,I got blown away,neutral
969,Phenomenal,neutral
970,This is what I imagine watching the Empire Strikes Back in cinemas felt like.,neutral
971,A cinematic masterclass in filmmaking.,neutral
972,Best movie of the year so far!,positive
973,"do not walk, run to see Dune: Part Two!!",neutral
974,THIS WAS AMAZING,positive
975,Great Movie With Holes in the Plot,positive
976,INCREDIBLE,neutral
977,Massive space opera,neutral
978,I love this film!,positive
979,Film making at its best,positive
980,WOW WOW WOW!,positive
981,The revolution will be jihad-less,neutral
982,Dune 2 - Desert Rats v The Empire,neutral
983,Absolute masterpiece,positive
984,"Great visuals, but story leaves a sense of absence",positive
985,Dune: Part Two - The Case for Cinematic Experiences Remaining in Theaters,neutral
986,"Less answers, more questions",neutral
987,A Dark Wonder to Behold,neutral
988,Disappointed.,negative
989,Perfection as a movie,positive
990,What a masterpeace,neutral
991,Finally a fantastic movie,positive
992,Dune 2,neutral
993,Stunning! Absolutely gorgeous! MUST SEE!,positive
994,Power over spice is power over all,neutral
995,This is what we want - Absolutely Perfect,positive
996,A Masterpiece movie,positive
997,An Epic installment portrayed on the big screen,neutral
998,"Nice pictures, big actor names, no content. A pity since Dune 1 was 10/10.",negative
999,A masterpiece,positive
